Country Name,GDP,GDP per capital,Gross National saving,Unemployment rate,Taxes and other revenue,%Public debt/GDP,Inflation Rate,Reserve of Foreign Exchange and Gold,Central Bank Discount Rate,Commercial Bank Prime Landing Rate,Current Balance
Kenya,1.34E+11,3200,0.121,0.4,0.189,0.499,0.066,7000000000,0.115,0.1616,-4308000000
Ethiopia,1.45E+11,1700,0.307,0.175,0.154,0.4,0.101,3300000000,0,0.115,-9206000000
Uganda,7.53E+10,2200,0.172,0.095,0.141,0.3,0.039,3000000000,0.14,0.226,-1794000000
Zambia,5.98E+10,3900,0.361,0.15,0.171,0.6,0.101,2000000000,0.091,0.1325,-767500000
South Africa,7.11E+11,13500,0.155,0.254,0.28,0.45,0.045,45000000000,0.07,0.0942,-13940000000
China,1.82E+13,13600,0.49,0.04,0.25,0.152,0.019,3.40E+12,0.0225,0.0435,3.04E+11
Japan,5.00E+12,40300,0.246,0.031,0.32,2.367,0.008,1.23E+12,0.003,0.0148,1.34E+11
India,7.34E+12,5900,0.333,0.08,0.08,0.514,0.049,3.51E+11,0.0775,0.1001,-22460000000
Vietnam,5.13E+11,5800,0.317,0.034,0.2,0.482,0.006,30000000000,0.09,0.0712,906000000
Thailand,1.07E+12,16000,0.277,0.01,0.2,0.51,0.009,1.60E+11,0.005,0.0656,32110000000
Turkey,1.78E+12,23400,0.244,0.109,0.2,0.384,0.089,1.10E+11,0.15,0.1367,-32120000000
Russia,3.89E+12,27800,0.25,0.055,0.2,0.081,0.078,3.68E+11,0.11,0.1573,68830000000
Ukranie,3.73E+11,8900,0.095,0.093,0.329,0.443,0.4,14000000000,0.075,0.2182,-189000000
Poland,9.63E+11,25900,0.183,0.09,0.19,0.533,0.001,94910000000,0.02,0.0492,-2949000000
Argentina,8.51E+11,20400,0.157,0.065,0.35,0.396,0.265,26000000000,0,0.2492,-17170000000
Brazil,3.31E+12,16700,0.168,0.09,0.34,0.546,0.063,3.60E+11,0.1425,0.4396,-59430000000
Mexico,2.15E+12,18400,0.198,0.039,0.3,0.364,0.04,1.78E+11,0.0525,0.0342,-28200000000
Colombia,6.40E+11,13800,0.211,0.092,0.25,0.372,0.05,46000000000,0.065,0.1145,-18640000000
Peru,3.70E+11,12300,0.205,0.065,0.3,0.16,0.035,61590000000,0.0505,0.161,-9169000000
Egypt,1.02E+12,12000,0.129,0.125,0.23,0.793,0.104,16000000000,0.0975,0.1163,-17210000000
Israel,2.76E+11,34300,0.242,0.048,0.24,0.759,0.005,90580000000,0.0025,0.0346,15190000000
Jordan,8.00E+10,12300,0.14,0.13,0.2,0.618,-0.009,16000000000,0.003,0.0824,-3406000000
Kuwait,2.84E+11,72600,0.502,0.03,0.36,0.053,0.034,30000000000,0.0125,0.043,3742000000
Morocco,2.60E+11,7900,0.266,0.095,0.31,0.763,0.016,23000000000,0.065,0.0573,-2161000000
Canada,1.61E+12,46300,0.222,0.07,0.31,0.862,0.019,79750000000,0.01,0.0278,-53080000
U.S.,1.74E+13,56000,0.193,0.049,0.17,0.808,0.016,1.18E+11,0.005,0.0326,-4.35E+11
Germany,3.78E+12,47700,0.27,0.042,0.3,0.838,0.009,1.70E+11,0.003,0.0184,2.88E+11
France,2.61E+12,41800,0.215,0.098,0.51,0.94,0.005,1.38E+11,0.0005,0.0193,-10800000000
Switzerland,4.79E+11,60200,0.319,0.03,0.34,0.368,0,6.02E+11,0.0075,0.0268,77380000000
Greece,2.83E+11,26500,0.102,0.235,0.498,1.543,-0.013,6030000000,0.0015,0.0589,228300000
U.K.,2.62E+12,41400,0.127,0.049,0.392,0.951,0.004,1.29E+11,0.005,0.0451,-1.23E+11